epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.8235800344234079,0.9105760963026656,0.6372623595436345,0.38962088180633836
2,0.8885542168674698,0.9286328460877042,0.39706785186945676,0.3436153474442424
3,0.9021084337349398,0.9337919174548581,0.3645945365785937,0.328232663951859
4,0.9040447504302926,0.9303525365434222,0.3568758512117777,0.30448869014237323
5,0.9066265060240963,0.9466895958727429,0.3511577005179121,0.2974994687663002
6,0.9070567986230637,0.942390369733448,0.3474796379238316,0.29566937126379433
7,0.9113597246127366,0.9509888220120378,0.33276631633098686,0.2794477231832588
8,0.9109294320137694,0.937231298366294,0.3288351175809686,0.2803789470488925
9,0.9143717728055077,0.9501289767841788,0.3266447312527187,0.2727854946822005
10,0.9130808950086059,0.94067067927773,0.3197061402687928,0.2763430984340038
11,0.9203958691910499,0.9518486672398968,0.3081537554370762,0.2681452331108362
12,0.9216867469879518,0.9561478933791917,0.3135101801095444,0.2653186950617993
13,0.9171686746987951,0.9475494411006019,0.3068464148449816,0.2615843661776516
14,0.9208261617900172,0.9363714531384351,0.30464809735445064,0.27160313610157266
15,0.9186746987951807,0.944969905417025,0.304806468075401,0.26738833022958125
16,0.9210413080895009,0.944110060189166,0.2980284658284688,0.26830761858541596
17,0.9206110154905336,0.9415305245055889,0.3018016554351107,0.2699859145634767
18,0.9216867469879518,0.9415305245055889,0.29512465805482124,0.2666063693609098
19,0.927710843373494,0.945829750644884,0.2869769810168345,0.26010211118315174
20,0.9300774526678142,0.9501289767841788,0.2873325585908611,0.25191626211537027
21,0.9262048192771084,0.9475494411006019,0.28587583891675517,0.2567753991943336
22,0.9262048192771084,0.938950988822012,0.293843560504267,0.269937907275924
23,0.9274956970740104,0.942390369733448,0.28387741000742595,0.26778843786218304
24,0.9274956970740104,0.9527085124677558,0.2834730654595846,0.2563213496400894
25,0.9320137693631669,0.943250214961307,0.2812093992600548,0.2584548316838305
26,0.9219018932874354,0.943250214961307,0.28645610125821963,0.25778083509652655
27,0.9343803786574871,0.9509888220120378,0.27195634133793195,0.25241147390441043
28,0.9309380378657487,0.938950988822012,0.2736228764211044,0.269762517251747
29,0.9311531841652324,0.944110060189166,0.2707320686410503,0.25996824583921163
30,0.9287865748709122,0.9466895958727429,0.27569688797612607,0.25994879063715326
