,model,precision,recall,f1-score,support
High,RandomForestClassifier,1.0,0.3157894736842105,0.48,19.0
Low,RandomForestClassifier,0.9375,0.8181818181818182,0.8737864077669902,55.0
Moderate,RandomForestClassifier,0.9487179487179487,0.9568965517241379,0.9527896995708155,116.0
Severe,RandomForestClassifier,0.0,0.0,0.0,11.0
Very High,RandomForestClassifier,0.967741935483871,0.997920997920998,0.9825997952917093,962.0
accuracy,RandomForestClassifier,0.9647463456577816,0.9647463456577816,0.9647463456577816,0.9647463456577816
macro avg,RandomForestClassifier,0.7707919768403639,0.617757768302233,0.6578351805259031,1163.0
weighted avg,RandomForestClassifier,0.9557880687762389,0.9647463456577816,0.9569758045124878,1163.0
