epoch,train_loss,val_loss,train_mae,val_mae
1,0.01469748627175303,0.018007131293416023,0.08634972539602541,0.1142377182841301
2,0.011251596961827839,0.01231272891163826,0.07548635160221773,0.0882737934589386
3,0.009270851630352291,0.011959560215473175,0.07037618609035716,0.09383830428123474
4,0.007344017033921737,0.008301617577672005,0.06261556929233028,0.07624838501214981
5,0.006797191090881825,0.007204751949757338,0.060092668580073935,0.07019158452749252
6,0.006372987914319132,0.00680952612310648,0.05860098548963958,0.06893215328454971
7,0.006104937823233651,0.00686296634376049,0.056469463694329355,0.06899239122867584
8,0.005987253725601762,0.00649936031550169,0.05552424178403967,0.0666903555393219
9,0.005926400944955793,0.007168646436184645,0.055347628125957414,0.07104763388633728
10,0.005602033386079996,0.006363522727042437,0.05422896843330533,0.06554756313562393
11,0.0054349772440379154,0.0067187724635005,0.053053321604635204,0.06853624433279037
12,0.005396043807998592,0.006388806272298098,0.0524626571524377,0.06566756218671799
13,0.005476068025272267,0.006114417687058449,0.052556015323190125,0.06242034211754799
14,0.0054492085087387,0.006253937259316444,0.05298900473351572,0.06528868526220322
15,0.005239418209256495,0.006524304859340191,0.0514034460105148,0.06707076728343964
16,0.005061622775689352,0.005681621842086315,0.051214512048983106,0.05922751873731613
17,0.005001434688547662,0.006419931538403034,0.05046309122852251,0.06544729322195053
18,0.00487733249643854,0.005974472966045141,0.04976433080785415,0.06232936680316925
19,0.004853576017434106,0.006139971315860748,0.04978631005567663,0.061959199607372284
20,0.00486182630847336,0.00703250290825963,0.04978830571268119,0.06812901049852371
21,0.004818187314907418,0.0056271739304065704,0.0494631524179496,0.061060380190610886
22,0.004688708785848291,0.006084588821977377,0.04901640489989636,0.06250454485416412
23,0.004728283958838266,0.0055643003433942795,0.04894771054679272,0.05927029624581337
24,0.004472341096649567,0.006144287530332804,0.04740961140277339,0.06331021338701248
25,0.004381212300493145,0.00731131574138999,0.04690668903145136,0.07083927094936371
26,0.0044775971039837485,0.005531934089958668,0.04722085835886936,0.05916919931769371
27,0.004260491534117975,0.00575652439147234,0.04658249392228968,0.06177108362317085
28,0.0043182964062354725,0.006204219069331884,0.04680653747390298,0.06212799996137619
29,0.004684333104968947,0.006414042320102453,0.04800478360232185,0.06596582382917404
30,0.004325206570108147,0.005958995781838894,0.046574185315300436,0.06307294964790344
31,0.004260971631270413,0.006273769773542881,0.045300779319277,0.06443445384502411
32,0.004106628659236081,0.0060659246519207954,0.04563164942404803,0.06447497755289078
33,0.003841544554075774,0.005891699809581041,0.04384652729127921,0.062082439661026
34,0.00399864408333658,0.006033148150891066,0.04426898916562398,0.06381181627511978
35,0.0038504591124022707,0.006407120730727911,0.04316631190917071,0.06547383964061737
36,0.003764973347823994,0.0056072729639709,0.042910055880453074,0.06111440435051918
